情景,负载,PUE,定价$/hr,保本价$/hr,毛利率,盈利
优化,0.6,1.25,2.2,2.14,0.0276,⚠️
优化,0.6,1.25,2.49,2.14,0.1408,✅
优化,0.6,1.25,2.69,2.14,0.2047,✅
优化,0.6,1.25,3.0,2.14,0.2869,✅
优化,0.6,1.25,3.2,2.14,0.3315,✅✅
优化,0.6,1.25,3.67,2.14,0.4171,✅✅
基准,0.7,1.4,2.2,1.91,0.1315,✅
基准,0.7,1.4,2.49,1.91,0.2326,✅
基准,0.7,1.4,2.69,1.91,0.2897,✅
基准,0.7,1.4,3.0,1.91,0.3631,✅✅
基准,0.7,1.4,3.2,1.91,0.4029,✅✅
基准,0.7,1.4,3.67,1.91,0.4793,✅✅
压力,0.8,1.6,2.2,1.77,0.1974,✅
压力,0.8,1.6,2.49,1.77,0.2909,✅
压力,0.8,1.6,2.69,1.77,0.3436,✅✅
压力,0.8,1.6,3.0,1.77,0.4114,✅✅
压力,0.8,1.6,3.2,1.77,0.4482,✅✅
压力,0.8,1.6,3.67,1.77,0.5189,✅✅
